Nama,IPS 1,IPS 2,IPS 3,IPS 4,Jenis Kelamin
Janean Jerman,3.263838216,3.032478836,2.453331237,1.924753494,Female
Quincy Alford,2.989071072,1.9630935,2.027041095,2.064969429,Male
Catharina Folini,1.52720032,3.587772866,2.733408173,2.200944337,Female
Deck Winman,3.803418889,1.247319824,2.269707776,1.116311833,Male
Renato Perigeaux,2.503378009,1.885417359,1.02902352,3.389758666,Male
Grange Giocannoni,3.510571506,2.535348383,3.017145891,3.136059602,Male
Danette de Quincey,3.811029681,3.183569404,3.79764294,2.148039095,Female
Arny Yurkov,3.997183486,1.222683239,3.573980394,1.314541624,Male
Gabie Rioch,1.634531147,1.068724626,2.702475258,3.704927884,Female
Colan Caseborne,1.432051152,2.31247058,3.452399098,1.123668929,Male
Alfy Pringley,2.155812824,1.115020854,3.404344116,2.911691263,Male
Alessandra Waggitt,2.422470728,3.864701778,2.627635774,3.160924934,Female
Rasla Hartup,2.059676474,3.49475959,2.972875668,2.917686166,Female
Fremont Colerick,1.48777952,3.046224277,3.276763842,1.836923809,Male
Ingelbert Ivashkov,2.960003143,3.188831466,1.850690478,3.976451461,Male
Anderson Bosworth,3.868879051,2.500783611,2.602928318,1.684934549,Male
Alleyn Braunes,2.150175411,3.330199427,2.678383168,1.109627969,Male
Isobel MacIntosh,2.770647254,3.328553003,3.403579837,2.056180194,Female
Judie Hames,2.320878077,3.27273349,3.984504775,2.154824132,Female
Dex Edmenson,2.834627205,1.244200836,3.148004982,1.336410292,Male
Erie Edgeson,1.041928976,1.229185594,3.958643155,3.652921681,Male
Inigo Osanne,2.301913828,1.456020163,3.933286157,3.875690334,Male
Frasier Davage,3.79008952,2.275548681,2.855899111,1.301450571,Male
Mortimer Winkle,3.008861357,2.116070908,1.904237401,3.75167097,Male
Christin Sabattier,1.167061077,2.006590047,2.37238119,1.841798426,Female
Case Lalor,2.917468672,2.536586284,2.623324452,3.385949437,Male
Haleigh Ripon,2.968256376,2.046677085,1.60016264,3.326907573,Female
Hussein Leehane,3.353803288,2.955658252,3.613738217,3.480980666,Male
Judon Abela,2.539400388,3.948522494,1.325059683,2.083369893,Male
Gigi Rielly,1.027411816,1.256960881,1.354163688,1.993433522,Female
Clementine Klagge,2.050405311,2.28557605,2.733915015,2.933307373,Female
Goldy Hammerberg,3.523022769,3.518791798,3.763038241,3.262599747,Female
Isobel Doche,3.461436869,1.747253738,2.517362567,2.289267352,Female
Felic Cotmore,3.220825318,3.907392764,3.234697162,1.619744521,Male
Buddy Redbourn,1.554959874,2.343793028,3.431571289,1.497865279,Male
Siegfried Sowley,2.740669787,2.571773246,3.983457223,2.725724227,Male
Pierre Pikett,1.982438576,3.993087185,2.503237055,3.353833462,Male
Odette Leathard,2.951738606,3.688560761,2.492644059,3.010644406,Female
Clementius Winters,2.284611695,1.203801495,1.77860189,2.545769113,Male
Clim Catcheside,3.305405494,1.067700286,2.436927422,2.721496865,Male
Waylan Yanin,3.529235341,2.831887541,2.475418407,2.733121339,Male
Pierson Ganiford,3.097481786,3.58798416,1.890788887,1.984973328,Male
Allissa Scopes,3.670624916,2.638097188,3.828740778,2.352112163,Female
Virgie Sangra,2.763965588,3.260486684,1.426421714,3.091341849,Female
Janine Graal,2.876729238,3.852740782,2.643674723,3.988646951,Female
Tymon Prigg,3.751783051,3.058458479,2.34761883,1.925937141,Male
Dorolice Phillcock,1.137845508,3.121911675,3.010490469,3.075770127,Female
Frasco Pusill,1.924325638,3.739277927,2.811684165,2.481592176,Male
Beverlee Fawkes,3.219882725,2.270621246,1.81455897,3.499833246,Female
Pearl Ferrucci,2.089911007,2.153910961,3.949002034,2.713129188,Female
Dario Pedley,1.994675331,1.290626717,3.931213566,3.211241648,Male
Dora Readie,2.209527258,2.784851322,1.368491944,1.407490356,Female
Cherrita Gribben,3.108693169,1.528817345,1.452547397,3.908861175,Female
Jessamine Pescud,2.722768886,3.24230277,1.373528358,2.692658203,Female
Sully Meaney,1.040768454,1.794954413,2.098751924,2.687289828,Male
Dniren Burrows,2.550752161,1.197767961,3.541055571,3.442588175,Female
Vinson Swires,3.600503723,1.502946341,1.852455453,1.746824899,Male
Ekaterina Topping,3.768413412,2.01380294,1.704454762,1.571353989,Female
Lib Wrightem,3.917230751,2.771876821,2.22002321,1.494132452,Female
Fairleigh Allderidge,1.779656061,1.618119373,1.854032759,3.76931841,Male
Mireille Wareing,2.503596756,1.971358588,2.654971209,2.486784664,Female
Tynan Grund,3.508813768,3.876772853,1.936805314,1.418308295,Male
Aveline MacClay,2.52269002,3.338184985,1.751401887,1.009427833,Female
Gunter Jendrassik,1.918727918,1.371137093,1.125277225,1.151878191,Male
Laurence Presho,1.925839174,3.300207792,3.002599586,3.64979486,Male
Eustace Castiello,3.369105483,2.288502928,3.688623178,3.531303323,Male
Branden Castaner,1.741338888,3.668860103,3.864326566,2.009981383,Male
Konstantine Ipsley,1.200670006,1.794574256,2.251550264,2.215169525,Male
Sondra Kidde,3.667530226,1.111820655,1.241829705,3.62625236,Female
Leena Brigdale,2.81029581,3.407142936,1.979927045,3.3317108,Female
Cathrin Pescud,1.051370893,3.833668223,2.331268087,1.43078653,Female
Rik Bray,3.460854424,1.403145478,2.436319413,1.795144565,Male
Silva Amoore,2.604741587,2.41408562,1.587415022,3.567261646,Female
Jaquelyn Christer,2.116050622,3.047161368,1.834959354,2.762305561,Female
Bertrando Berka,1.898860686,2.547436028,1.591591335,1.97339241,Male
Dorothea Tampen,1.063718153,3.796981431,3.367743979,3.06312614,Female
Estell Mc Gorley,3.7279481,2.959749525,1.443690332,1.614519913,Female
Arnie Wrightim,2.30936372,1.687836863,1.159057572,2.707665953,Male
Jeffie Ends,1.907195688,2.877117495,1.329117381,1.919859786,Male
Alphonso Gerren,1.779610806,2.32493457,1.80351192,1.00080638,Male
Barbaraanne Hensmans,3.027930363,2.829283889,3.288898208,1.786563755,Female
Fionna McElmurray,1.845277139,3.131209251,2.853627805,1.794025735,Female
Prentice Matthaus,3.701656193,2.199678909,2.104817867,2.778293783,Male
Brittne Pincott,2.451367623,1.327878109,1.011549128,2.921468687,Female
Way Opy,3.279168856,3.627410761,3.712862291,3.705460936,Male
Marrissa Chansonne,1.925854135,3.782396345,3.670669843,2.514074688,Female
Kenn Kidman,2.70836062,2.624926066,1.476777266,3.960561055,Male
Sharyl Lansley,3.374501631,1.020202632,2.136778003,1.541324569,Female
Sande McCowen,2.414137696,1.993801674,2.121826932,1.93094003,Female
Arther Corr,1.400738557,2.279543821,2.512838929,3.545015146,Male
Edgar Hunnybun,2.36320477,3.988812962,2.490830227,1.356249129,Male
Alanah Edmott,2.426948027,3.186014168,2.531750015,3.316315345,Female
Elise Peaker,2.589926125,2.651670823,2.136700503,3.306782662,Female
Torr Ximenez,2.702955432,1.644074548,1.209156219,3.852861107,Male
Anjanette Shilton,3.196076294,3.542653951,3.430690878,2.378549494,Female
Corinna Corryer,1.225470683,2.065533565,3.710283684,1.069660663,Female
Jaclin Ravenshaw,1.223545963,3.976200921,1.313741444,2.692877321,Female
Chrisse Werrett,1.686004161,2.191246732,3.351878065,1.043266278,Male
Lavinia Burtonshaw,2.439503347,3.039918728,3.400328028,1.615986168,Female
Bayard Andreasen,3.337111926,2.932786791,2.079693734,2.236452754,Male
Jeromy Vasenkov,1.014369401,2.375137995,2.333672852,2.381723164,Male
Cedric Pariss,1.406256589,2.105857044,3.491501018,2.617846596,Male
Brantley Wyke,1.059488316,2.804330993,3.305345855,1.721577503,Male
Romain Gilstin,3.114707001,1.448286648,3.910038534,1.014751902,Male
Flinn Crampton,1.174569192,2.287647687,2.214954081,2.362255039,Male
Hollyanne Armer,1.107576775,1.91559394,2.2472236,2.873048565,Female
Cirstoforo Antonucci,3.241190757,1.371726824,3.115253275,3.832269729,Male
Agatha Vogel,2.001825742,2.290850749,3.098350042,1.493726925,Female
Corbett Westfield,3.624711879,2.705210568,1.96506208,3.025529602,Male
Nerta Juckes,1.065137114,1.304388074,2.916455367,2.527663901,Female
Leonore Beckitt,1.396855101,2.3062657,2.695649487,2.550735535,Female
Farlie Penhall,1.867456589,3.534808326,3.214831897,3.795097783,Male
Timmy Brockhouse,2.00360339,2.089577999,1.128191815,3.992032293,Male
Vikki Penchen,3.775981275,2.22326923,3.662585461,3.252827445,Female
Maury Gaitley,1.231983922,1.438307276,2.595673968,3.152428496,Male
Rachelle Keller,3.202294032,2.522499154,3.693306086,1.13989256,Female
Jacob Guilloton,3.798182761,2.152966454,3.717930733,3.211000457,Male
Stacy Daltrey,1.228921264,1.215704531,2.80663836,1.964995909,Male
Carlina Symson,1.872916518,2.791516845,1.829749176,1.703300982,Female
Hanni Thombleson,1.96278804,1.045355954,2.434593908,2.764572521,Female
Duncan McIlwraith,1.372334604,1.501264574,3.835025043,3.266127292,Male
Abigael Gambrell,3.549856421,2.654178131,2.500619481,2.510979277,Female
Odella Norkutt,2.391803828,1.728786389,2.263824077,3.37100559,Female
Kerri Asman,2.966734079,3.307327205,3.229894804,1.994548655,Female
Pablo Oleszcuk,1.571506244,1.325584443,2.809319238,2.9607601,Male
Andrei Slad,2.669129638,3.518113477,1.990716579,3.203076561,Female
Luz Dixson,2.139110716,1.717973424,2.28331095,3.12573829,Female
Fonzie Cable,1.533179151,3.557411382,3.166843294,3.22402278,Male
Hyman O' Mahony,1.752544583,3.875569633,1.572575625,3.671285532,Male
Leslie Itzchaki,3.011765223,2.218854813,1.199208118,3.629100643,Male
Sabra Rothchild,1.221708632,2.828327432,3.255300473,1.25665448,Female
Zorine Ardley,2.939137492,2.893985483,2.874026278,3.989370582,Female
Cyndy Mendenhall,1.369548424,1.910460554,3.925777626,1.326961693,Female
Malina Scain,3.122508616,1.851013249,1.120207054,2.609328629,Female
Jakie Eouzan,1.565246291,3.57615871,2.920068521,3.962797443,Male
Marysa Broschke,1.743625003,3.16085339,3.983362196,2.205407441,Female
Catrina Chrishop,1.86131131,2.24013223,1.156021691,1.127880227,Female
Noel Malam,1.836923421,2.28566652,3.292374056,1.55852641,Female
Reggie Garmston,2.89175687,1.662745083,1.467784044,2.128243711,Male
Olenka Stoacley,3.490421572,2.157766433,2.008048789,1.058905031,Female
Alexis Dummett,2.027405058,2.148470461,2.81855333,1.076194364,Male
Kelby Espino,1.321284301,1.45651808,2.787709227,1.626433385,Male
Tammie Dicken,2.174329304,3.209562054,1.687156721,1.534495287,Female
Jesse Vickar,3.811908082,3.875609993,3.650947016,1.429149122,Male
Ange Gilliatt,1.574572263,1.001775605,2.095550444,1.049461466,Female
Phillip Rowsel,3.846068409,1.049559317,2.43216539,3.313007152,Male
Burr Jirusek,3.797479958,1.145794643,2.599754303,2.910324941,Male
Lewiss Crat,3.177003841,1.505736131,3.77181236,2.691122411,Male
Annissa Jenkins,3.92642146,1.0742997,2.609253995,3.075482448,Female
Frederich Vears,2.502879566,1.784694808,3.922423015,3.267578527,Male
Linea Tootal,2.168475525,2.93483195,3.22158813,3.375719381,Female
Ashley Stilly,2.872504874,2.310318691,3.901672505,3.673044935,Female
Man Rann,3.633125075,2.66303695,3.116431119,1.4532946,Male
Wake Faithfull,2.280206708,1.644783845,1.379470682,2.955765449,Male
Caye Lamplugh,3.02576973,1.809929259,3.392783279,1.319492061,Female
Dalia Kibby,2.196050165,1.896011239,2.37113732,1.748562176,Female
Avis Francklyn,1.245345454,2.631398951,2.310506202,2.615814844,Female
Jo-ann Barrus,2.372019528,3.47652153,2.900957281,3.23762903,Female
Knox Corpes,2.087999875,3.57065143,2.911163438,1.633366866,Male
Sasha Dominetti,1.161668933,3.310253055,1.274160969,2.806327329,Female
Joyan Mattielli,2.966680044,3.012493888,1.465299486,1.475775455,Female
Abeu Bonder,2.864785705,2.074586353,2.527464357,1.443664417,Male
Tye Marchello,1.780903539,2.648685482,2.119116444,1.466948561,Male
Kellia Wingatt,2.580202397,3.901847414,1.217420844,2.676703371,Female
Felice Fried,3.932897515,2.842635932,1.393419262,2.253009429,Female
Eustacia Haibel,3.710312435,1.282744595,3.947471145,3.660164002,Female
Allyson Davall,2.665014153,3.03462508,3.797239041,1.394147713,Female
Dolley Oliphant,2.512173362,1.016881232,3.851095421,3.967645079,Female
Lucian Goldthorp,2.166656414,2.22998146,2.495847397,3.784236992,Male
Izzy Rumble,2.167381046,1.195077204,1.919977425,2.617031149,Male
Farlay Corssen,1.441211626,3.115228803,3.909276551,1.73995457,Male
Caro Brosel,2.883695807,2.99549343,2.576905348,2.685317197,Female
Roby Reyner,1.497857988,1.158806541,3.122138724,2.94234476,Female
Elisabetta Wetherick,2.53959648,3.390368119,2.558355727,2.80402446,Female
Eunice Hillan,1.249477003,2.974975511,2.968515468,2.785366307,Female
Gladi Tooley,1.647823036,2.031180525,2.692088266,3.753959012,Female
Rosalynd Breyt,1.77797736,1.445180377,1.106258689,3.005156013,Female
Dominica Mumbeson,2.856589847,2.986659047,1.822810695,1.791348478,Female
Page Pepperd,1.636389085,2.858750243,3.651777635,1.968556529,Female
Noelle Glendzer,3.357673529,3.239834419,1.277878916,3.443954064,Female
Chandal Newell,1.950970506,2.001063931,2.095256255,2.980048053,Female
Peyter Dalley,2.064306496,1.459715798,1.048960738,1.068507289,Male
Alvis Janu,1.755250308,2.949066872,1.583385042,1.830954203,Male
Amandi Nobbs,2.808775715,2.680910157,1.785046043,3.453091163,Female
Ivan Swindall,1.607428965,1.054357825,1.904012081,1.69375237,Male
Aurthur Gynne,3.03432816,3.17033531,2.914453715,2.655673892,Male
Malvina Kynnd,1.569782462,3.145772083,3.120258172,2.06558106,Female
Elianora Rudgerd,3.403220297,2.850056583,3.738025875,3.40101509,Female
Egor Sibery,1.102345747,1.761948911,1.238510431,3.7031944,Male
Darryl Tremain,2.309506393,2.990830448,1.946042311,1.783485944,Female
Alessandro Muirden,3.671676746,3.099343068,1.956954527,1.463476646,Male
Bernete Cobson,3.475113732,1.173242502,3.996074413,1.694443822,Female
Fernando Gruczka,1.596455767,1.358385755,2.856397986,1.080717283,Male
Sallyanne Leschelle,1.669400149,3.448708887,1.538663521,3.823840839,Female
Maxim Guitt,2.238556531,2.524460032,3.055890427,3.762289788,Male
Arlene Bedwell,1.402155167,2.816858808,2.635400784,2.845714576,Female
Alberik Patsall,2.670075765,1.303570264,2.466087447,1.833967805,Male
Aviva Boulter,3.684170682,2.187119791,3.149621321,3.419253097,Female
Derry Eccleston,2.2294773,1.436370298,1.552105829,2.095665949,Male
Saree Kellert,2.099515062,2.936674241,1.555617664,2.856709109,Female
Carree Crowne,3.43529325,1.075718017,3.202799461,2.647925708,Female
Zebulen McKinna,1.777312865,1.9384046,2.375003451,3.773294377,Male
Cy Hove,1.001664777,1.399479006,2.676442582,1.291754989,Male
Jocko Martinot,3.76089305,3.928322936,3.45288259,3.392329558,Male
Natividad Warke,1.903203098,3.525172733,3.151860588,1.200735107,Female
Sam Boolsen,2.697231592,2.003634801,1.143540237,3.54118391,Female
Leland Sandom,3.232607951,1.945952883,3.270793487,1.919735867,Male
Barby Loseby,1.874130433,3.025732489,3.11645137,2.80775454,Female
Francklin Priest,2.470100404,2.175961594,1.890765151,1.487001895,Male
Friedrich Winsper,2.354486801,1.507370352,2.385774168,3.65821217,Male
Brunhilde Carlet,1.595362978,3.60979201,1.89093614,3.301995406,Female
Hunfredo Cosyns,1.374020751,2.551371621,3.895211027,3.57418119,Male
Aloysius Pyffe,2.310718026,2.107178279,1.005772909,2.352082717,Male
Gregorius Landsbury,2.748404401,1.715745515,1.309155099,2.487636465,Male
Tully Padly,3.078789774,2.739828427,1.816236198,3.95511315,Male
Augustin Petofi,2.411623685,3.174639779,1.861928024,3.217777849,Male
Corbet Averill,3.031645187,3.812400666,2.180733872,3.146257034,Male
Ernestus Heathwood,3.093301842,1.175980381,1.627893475,1.430491797,Male
Cherri Dulieu,3.021514544,1.156007407,2.974946218,3.067479828,Female
Cazzie Lavalle,3.488525738,3.107974005,3.076150577,2.310091524,Male
Hank Ambroise,2.107901387,2.550549057,1.701349462,1.055301701,Male
Brien Prenty,2.264886507,2.519645491,1.776851146,2.197466211,Male
Amalle Mogford,2.450141112,1.012598891,3.661975796,2.05477589,Female
Sherilyn Stanfield,3.735861476,1.683373212,3.065003742,1.810866384,Female
Skipp Wilce,3.998466794,1.901974224,3.318267948,2.282505077,Male
Rea Ainscow,1.891419142,1.933706527,1.231660803,2.138191516,Female
Marcile Plummer,2.644419059,3.249158634,2.803271962,1.200834162,Female
Evie Urch,2.038201382,2.922143836,1.010554981,1.884019934,Female
Rozalie Kobierzycki,3.397628909,3.721857527,2.980478264,3.156981575,Female
Dom McKew,3.727544437,3.71783798,1.589069634,3.517558861,Male
Thaddeus Gudge,2.746145076,2.288374263,3.121568187,2.734684718,Male
Rose Khoter,2.469138048,2.576094893,1.953909274,3.042766996,Female
Rob Rolfe,3.550885789,3.203192452,2.424614569,3.931445674,Male
Janey Hebson,1.88723432,3.722614852,3.302367964,3.718648037,Female
Ignatius Crown,1.707843674,1.591610083,3.039432033,3.148274015,Male
Katerine Jacobowits,3.27820276,2.481221275,1.036168779,2.544187232,Female
